USE CASE,Description,REGRESSION / CLASSIFICATION / RECOMMENDATION / CLUSTERING / ANOMALY DETECTION / OTHER,SAGEMAKER ALGORITHM,,Article
Anomaly Detection,"Identification of rare items, events or observations which raise suspicions by differing significantly from the majority of the data",ANOMALY DETECTION,RANDOM CUT FOREST,,http://rstudio-pubs-static.s3.amazonaws.com/456313_9f8f6ba90b7a4a70a5f8cef7753d2d19.html
Cluster Analysis,"According to Wilks in the fourth edition of  Statistical Methods in the Atmospheric Sciences (2019), Cluster Analysis is a unsupervised learning learning paradigm that involves separating data—whose identities or traits are unknown—into different groups. 

Reference: https://www.sciencedirect.com/topics/earth-and-planetary-sciences/cluster-analysis",CLUSTERING OR GROUPING,K-MEANS,,https://aws.amazon.com/blogs/machine-learning/k-means-clustering-with-amazon-sagemaker/
Credit Scoring,"Credit Scoring is a numerical system that lenders (i.e. banks) utilize to gauge the likelihood that a borrower will be able to consistently make payments. In essence, a score is assigned to various selected factors that are related to an applicant's creditabilities.","Time-series forecasting,
Anomaly detection",Random Cut Forest (RCF) Algorithm,DeepAR Forecasting Algorithm,https://community.datarobot.com/t5/resources/using-scoring-code-models-with-aws-sagemaker/ta-p/5558
Customer Segmentation,"Shopify defines Customer Segmentation as a process of dividing customers into groups based on common characteristics. This enables companies to cater and market to each group effectively and appropriately.

Reference: https://www.shopify.com/encyclopedia/customer-segmentation#:~:text=Customer%20segmentation%20is%20the%20process,Number%20of%20employees",CLUSTERING OR GROUPING,K-MEANS,,https://aws.amazon.com/blogs/messaging-and-targeting/predictive-segmentation-using-amazon-pinpoint-and-amazon-sagemaker-solution/
Demand Forecasting,A system used to estimate customer demand over a predetermined period given historical data (e.g. sales data.),Time-series forecasting,DeepAR Forecasting Algorithm,,https://aws.amazon.com/blogs/machine-learning/time-series-forecasting-using-unstructured-data-with-amazon-forecast-and-the-amazon-sagemaker-neural-topic-model/
Dimension Reduction,A set of techniques used to reduce the amount of input variables in a dataset as higher dimensionality entails a longer training duration and a more compute-intensive predictive modeling task; the curse of dimensionality. ,Feature engineering,Principal Component Analysis (PCA) Algorithm,Object2Vec Algorithm,https://aws.amazon.com/blogs/machine-learning/running-principal-component-analysis-in-amazon-sagemaker/
Document Classification,Document Classification is used to categorize documents that have similar attributes.,CLUSTERING OR GROUPING,"K-MEANS,
BlazingText,
Neural Topic Model (NTM) Algorithm","Latent Dirichlet Allocation (LDA) Algorithm, Neural Topic Model (NTM) Algorithm",https://austinlasseter.medium.com/deploy-an-nlp-classification-model-with-amazon-sagemaker-and-lambda-cd5ea6339781
Document Retrieval,"According to Liddy (2005) in Document Retrieval, Automatic, Document Retreival is a computerized process that produces a relevance-ranked list of documents based on the inquirer's request. This is commonly found in web-based search engines.

Reference: https://surface.syr.edu/cgi/viewcontent.cgi?article=1055&context=istpub",Textual Analysis,BlazingText,,https://aws.amazon.com/blogs/machine-learning/powering-a-search-engine-with-amazon-sagemaker/
Face Detection,"Identify facial patterns, key facial features, and characterize the contours of detected faces in an image or video.",CLUSTERING OR GROUPING,Image Classification Algorithm,Object Detection Algorithm,https://medium.com/vaibhav-malpanis-blog/face-recognition-using-pytorch-on-amazon-sagemaker-c4f9f34c45f5
Feature Engineering,"Also known as pre-processing, Feature Engineering  is a process of transforming input variables to be fed into a predictive model. It is mainly used to improve training efficiencies.",Unsupervised Learning: Feature Engineering,Object2Vec Algorithm,Factorization Machines Algorithm,https://sagemaker-immersionday.workshop.aws/lab1.html
